Github Ranking,Total Ranking,login,noncode%,code%,total%
139,158,dafujii,0.025,0.091,0.11599999999999999
140,228,virendrachandak,0.0,0.091,0.091
141,229,kreativmonkey,0.0,0.091,0.091
142,230,Venji10,0.0,0.091,0.091
143,221,Anakros,0.0,0.091,0.091
144,220,ajtruex,0.0,0.091,0.091
145,219,nanto88,0.0,0.091,0.091
146,218,joaopedronardari,0.0,0.091,0.091
147,217,OpenCode,0.0,0.091,0.091
148,216,JoePlant,0.0,0.091,0.091
149,215,DeathMetalCoder,0.0,0.091,0.091
150,214,jay754,0.0,0.091,0.091
151,213,danielbayerlein,0.0,0.091,0.091
152,212,meetshah1995,0.0,0.091,0.091
153,211,gildo,0.0,0.091,0.091
154,210,alexandear,0.0,0.091,0.091
155,209,gfvcastro,0.0,0.091,0.091
156,192,TheSooth,0.012,0.091,0.103
157,159,Dareten,0.025,0.091,0.11599999999999999
158,117,M0ZZI,0.05,0.091,0.14100000000000001
159,157,ammendonca,0.025,0.091,0.11599999999999999
160,61,Ash515,0.125,0.091,0.216
161,156,baciucristian,0.025,0.091,0.11599999999999999
162,118,RaDaDiYaMoHiT,0.05,0.091,0.14100000000000001
163,119,kevinlwebb,0.05,0.091,0.14100000000000001
164,106,aemiralfath,0.062,0.091,0.153
165,105,yerenn22,0.062,0.091,0.153
166,104,rickytaki,0.062,0.091,0.153
167,94,shabab477,0.075,0.091,0.16599999999999998
168,87,CH-ND-N,0.087,0.091,0.178
169,85,Harshit-lab,0.087,0.091,0.178
170,68,momozor,0.112,0.091,0.203
171,86,fosslinux,0.087,0.091,0.178
172,42,kakashi215,0.187,0.091,0.278
173,155,natehefner,0.025,0.091,0.11599999999999999
174,154,alvaroartano,0.025,0.091,0.11599999999999999
175,150,w4h4z,0.025,0.091,0.11599999999999999
176,151,madhavsarpal,0.025,0.091,0.11599999999999999
177,152,lightbringer1991,0.025,0.091,0.11599999999999999
178,153,drewsmith,0.025,0.091,0.11599999999999999
179,309,ptcodes,0.0,0.068,0.068
180,301,pac37,0.0,0.068,0.068
181,252,TotemaT,0.012,0.068,0.08
182,251,bkosun,0.012,0.068,0.08
183,250,khajavi,0.012,0.068,0.08
184,249,kiriappeee,0.012,0.068,0.08
185,248,yfancc20,0.012,0.068,0.08
186,247,woliveiras,0.012,0.068,0.08
187,300,rhysd,0.0,0.068,0.068
188,303,luxiaoyou,0.0,0.068,0.068
189,302,ashlaya,0.0,0.068,0.068
190,308,petk,0.0,0.068,0.068
191,304,wbecher,0.0,0.068,0.068
192,246,Nikalus,0.012,0.068,0.08
193,311,OffWorldApps,0.0,0.068,0.068
194,254,gutierri,0.012,0.068,0.08
195,310,SergioBaldo,0.0,0.068,0.068
196,305,dstftw,0.0,0.068,0.068
197,306,todipratik,0.0,0.068,0.068
198,307,piotrek1543,0.0,0.068,0.068
199,253,alesegdia,0.012,0.068,0.08
200,273,xamroc,0.0,0.068,0.068
201,255,jeanmatheussouto,0.012,0.068,0.08
202,256,chai2010,0.012,0.068,0.08
203,290,brunogirin,0.0,0.068,0.068
204,291,gingerbeardman,0.0,0.068,0.068
205,292,smtaydemir,0.0,0.068,0.068
206,293,Mozartuss,0.0,0.068,0.068
207,294,XuankangLin,0.0,0.068,0.068
208,295,Setyobudi,0.0,0.068,0.068
209,296,jlobos,0.0,0.068,0.068
210,289,MoiRouhs,0.0,0.068,0.068
211,288,chanchal1987,0.0,0.068,0.068
212,287,alrra,0.0,0.068,0.068
213,286,daniellycosta,0.0,0.068,0.068
214,285,DarlanCaruso,0.0,0.068,0.068
215,284,drgarcia1986,0.0,0.068,0.068
216,283,gep13,0.0,0.068,0.068
217,282,strlght,0.0,0.068,0.068
218,281,ataliba,0.0,0.068,0.068
219,280,ajdecon,0.0,0.068,0.068
220,279,bobeff,0.0,0.068,0.068
221,278,jdavis,0.0,0.068,0.068
222,277,mikesjewett,0.0,0.068,0.068
223,297,vicziani,0.0,0.068,0.068
224,298,Sirithang,0.0,0.068,0.068
225,299,dikiaap,0.0,0.068,0.068
226,244,buo,0.012,0.068,0.08
